lambda_list,lambda_length,lambda_conjugate,lambda_durfee,lambda_area,lambda_frobenius,lambda_lattice,mu_list,mu_length,mu_conjugate,mu_durfee,mu_area,mu_frobenius,mu_lattice,nu_list,nu_length,nu_conjugate,nu_durfee,nu_area,nu_frobenius,nu_lattice,lr_coefficient
"3,3,0",2,"2,2,2",2,6,,0110001,"1,0,0",1,1,1,1,,0001011,"4,1,0",2,"2,1,1,1",1,5,,1000101,0
"3,3,0",2,"2,2,2",2,6,,0110001,"1,0,0",1,1,1,1,,0001011,"3,2,0",2,"2,2,1",2,5,,0101001,1
"3,3,0",2,"2,2,2",2,6,,0110001,"1,0,0",1,1,1,1,,0001011,"3,1,1",3,"3,1,1",1,5,,0100110,0
"3,3,0",2,"2,2,2",2,6,,0110001,"1,0,0",1,1,1,1,,0001011,"2,2,1",3,"3,2",2,5,,0011010,0
"3,3,0",2,"2,2,2",2,6,,0110001,"2,0,0",1,"1,1",1,2,,0010011,"4,0,0",1,"1,1,1,1",1,4,,1000011,0
"3,3,0",2,"2,2,2",2,6,,0110001,"2,0,0",1,"1,1",1,2,,0010011,"3,1,0",2,"2,1,1",1,4,,0100101,1
"3,3,0",2,"2,2,2",2,6,,0110001,"2,0,0",1,"1,1",1,2,,0010011,"2,2,0",2,"2,2",2,4,,0011001,0
"3,3,0",2,"2,2,2",2,6,,0110001,"2,0,0",1,"1,1",1,2,,0010011,"2,1,1",3,"3,1",1,4,,0010110,0
"3,3,0",2,"2,2,2",2,6,,0110001,"1,1,0",2,2,1,2,,0001101,"4,0,0",1,"1,1,1,1",1,4,,1000011,0
"3,3,0",2,"2,2,2",2,6,,0110001,"1,1,0",2,2,1,2,,0001101,"3,1,0",2,"2,1,1",1,4,,0100101,0
"3,3,0",2,"2,2,2",2,6,,0110001,"1,1,0",2,2,1,2,,0001101,"2,2,0",2,"2,2",2,4,,0011001,1
"3,3,0",2,"2,2,2",2,6,,0110001,"1,1,0",2,2,1,2,,0001101,"2,1,1",3,"3,1",1,4,,0010110,0
"3,3,0",2,"2,2,2",2,6,,0110001,"3,0,0",1,"1,1,1",1,3,,0100011,"3,0,0",1,"1,1,1",1,3,,0100011,1
"3,3,0",2,"2,2,2",2,6,,0110001,"3,0,0",1,"1,1,1",1,3,,0100011,"2,1,0",2,"2,1",1,3,,0010101,0
"3,3,0",2,"2,2,2",2,6,,0110001,"3,0,0",1,"1,1,1",1,3,,0100011,"1,1,1",3,3,1,3,,0001110,0
"3,3,0",2,"2,2,2",2,6,,0110001,"2,1,0",2,"2,1",1,3,,0010101,"3,0,0",1,"1,1,1",1,3,,0100011,0
"3,3,0",2,"2,2,2",2,6,,0110001,"2,1,0",2,"2,1",1,3,,0010101,"2,1,0",2,"2,1",1,3,,0010101,1
"3,3,0",2,"2,2,2",2,6,,0110001,"2,1,0",2,"2,1",1,3,,0010101,"1,1,1",3,3,1,3,,0001110,0
"3,3,0",2,"2,2,2",2,6,,0110001,"1,1,1",3,3,1,3,,0001110,"3,0,0",1,"1,1,1",1,3,,0100011,0
"3,3,0",2,"2,2,2",2,6,,0110001,"1,1,1",3,3,1,3,,0001110,"2,1,0",2,"2,1",1,3,,0010101,0
"3,3,0",2,"2,2,2",2,6,,0110001,"1,1,1",3,3,1,3,,0001110,"1,1,1",3,3,1,3,,0001110,0
"3,3,0",2,"2,2,2",2,6,,0110001,"4,0,0",1,"1,1,1,1",1,4,,1000011,"2,0,0",1,"1,1",1,2,,0010011,0
"3,3,0",2,"2,2,2",2,6,,0110001,"4,0,0",1,"1,1,1,1",1,4,,1000011,"1,1,0",2,2,1,2,,0001101,0
"3,3,0",2,"2,2,2",2,6,,0110001,"3,1,0",2,"2,1,1",1,4,,0100101,"2,0,0",1,"1,1",1,2,,0010011,1
"3,3,0",2,"2,2,2",2,6,,0110001,"3,1,0",2,"2,1,1",1,4,,0100101,"1,1,0",2,2,1,2,,0001101,0
"3,3,0",2,"2,2,2",2,6,,0110001,"2,2,0",2,"2,2",2,4,,0011001,"2,0,0",1,"1,1",1,2,,0010011,0
"3,3,0",2,"2,2,2",2,6,,0110001,"2,2,0",2,"2,2",2,4,,0011001,"1,1,0",2,2,1,2,,0001101,1
"3,3,0",2,"2,2,2",2,6,,0110001,"2,1,1",3,"3,1",1,4,,0010110,"2,0,0",1,"1,1",1,2,,0010011,0
"3,3,0",2,"2,2,2",2,6,,0110001,"2,1,1",3,"3,1",1,4,,0010110,"1,1,0",2,2,1,2,,0001101,0
"3,3,0",2,"2,2,2",2,6,,0110001,"4,1,0",2,"2,1,1,1",1,5,,1000101,"1,0,0",1,1,1,1,,0001011,0
"3,3,0",2,"2,2,2",2,6,,0110001,"3,2,0",2,"2,2,1",2,5,,0101001,"1,0,0",1,1,1,1,,0001011,1
"3,3,0",2,"2,2,2",2,6,,0110001,"3,1,1",3,"3,1,1",1,5,,0100110,"1,0,0",1,1,1,1,,0001011,0
"3,3,0",2,"2,2,2",2,6,,0110001,"2,2,1",3,"3,2",2,5,,0011010,"1,0,0",1,1,1,1,,0001011,0
"3,3,0",2,"2,2,2",2,6,,0110001,"4,2,0",2,"2,2,1,1",2,6,,1001001,"0,0,0",0,,0,0,,0000111,0
"3,3,0",2,"2,2,2",2,6,,0110001,"4,1,1",3,"3,1,1,1",1,6,,1000110,"0,0,0",0,,0,0,,0000111,0
"3,3,0",2,"2,2,2",2,6,,0110001,"3,3,0",2,"2,2,2",2,6,,0110001,"0,0,0",0,,0,0,,0000111,1
"3,3,0",2,"2,2,2",2,6,,0110001,"3,2,1",3,"3,2,1",2,6,,0101010,"0,0,0",0,,0,0,,0000111,0
"3,3,0",2,"2,2,2",2,6,,0110001,"2,2,2",3,"3,3",2,6,,0011100,"0,0,0",0,,0,0,,0000111,0
"3,2,1",3,"3,2,1",2,6,,0101010,"0,0,0",0,,0,0,,0000111,"4,2,0",2,"2,2,1,1",2,6,,1001001,0
"3,2,1",3,"3,2,1",2,6,,0101010,"0,0,0",0,,0,0,,0000111,"4,1,1",3,"3,1,1,1",1,6,,1000110,0
"3,2,1",3,"3,2,1",2,6,,0101010,"0,0,0",0,,0,0,,0000111,"3,3,0",2,"2,2,2",2,6,,0110001,0
"3,2,1",3,"3,2,1",2,6,,0101010,"0,0,0",0,,0,0,,0000111,"3,2,1",3,"3,2,1",2,6,,0101010,1
"3,2,1",3,"3,2,1",2,6,,0101010,"0,0,0",0,,0,0,,0000111,"2,2,2",3,"3,3",2,6,,0011100,0
"3,2,1",3,"3,2,1",2,6,,0101010,"1,0,0",1,1,1,1,,0001011,"4,1,0",2,"2,1,1,1",1,5,,1000101,0
"3,2,1",3,"3,2,1",2,6,,0101010,"1,0,0",1,1,1,1,,0001011,"3,2,0",2,"2,2,1",2,5,,0101001,1
"3,2,1",3,"3,2,1",2,6,,0101010,"1,0,0",1,1,1,1,,0001011,"3,1,1",3,"3,1,1",1,5,,0100110,1
"3,2,1",3,"3,2,1",2,6,,0101010,"1,0,0",1,1,1,1,,0001011,"2,2,1",3,"3,2",2,5,,0011010,1
"3,2,1",3,"3,2,1",2,6,,0101010,"2,0,0",1,"1,1",1,2,,0010011,"4,0,0",1,"1,1,1,1",1,4,,1000011,0
"3,2,1",3,"3,2,1",2,6,,0101010,"2,0,0",1,"1,1",1,2,,0010011,"3,1,0",2,"2,1,1",1,4,,0100101,1
"3,2,1",3,"3,2,1",2,6,,0101010,"2,0,0",1,"1,1",1,2,,0010011,"2,2,0",2,"2,2",2,4,,0011001,1
"3,2,1",3,"3,2,1",2,6,,0101010,"2,0,0",1,"1,1",1,2,,0010011,"2,1,1",3,"3,1",1,4,,0010110,1
"3,2,1",3,"3,2,1",2,6,,0101010,"1,1,0",2,2,1,2,,0001101,"4,0,0",1,"1,1,1,1",1,4,,1000011,0
"3,2,1",3,"3,2,1",2,6,,0101010,"1,1,0",2,2,1,2,,0001101,"3,1,0",2,"2,1,1",1,4,,0100101,1
"3,2,1",3,"3,2,1",2,6,,0101010,"1,1,0",2,2,1,2,,0001101,"2,2,0",2,"2,2",2,4,,0011001,1
"3,2,1",3,"3,2,1",2,6,,0101010,"1,1,0",2,2,1,2,,0001101,"2,1,1",3,"3,1",1,4,,0010110,1
"3,2,1",3,"3,2,1",2,6,,0101010,"3,0,0",1,"1,1,1",1,3,,0100011,"3,0,0",1,"1,1,1",1,3,,0100011,0
"3,2,1",3,"3,2,1",2,6,,0101010,"3,0,0",1,"1,1,1",1,3,,0100011,"2,1,0",2,"2,1",1,3,,0010101,1
"3,2,1",3,"3,2,1",2,6,,0101010,"3,0,0",1,"1,1,1",1,3,,0100011,"1,1,1",3,3,1,3,,0001110,0
"3,2,1",3,"3,2,1",2,6,,0101010,"2,1,0",2,"2,1",1,3,,0010101,"3,0,0",1,"1,1,1",1,3,,0100011,1
"3,2,1",3,"3,2,1",2,6,,0101010,"2,1,0",2,"2,1",1,3,,0010101,"2,1,0",2,"2,1",1,3,,0010101,2
"3,2,1",3,"3,2,1",2,6,,0101010,"2,1,0",2,"2,1",1,3,,0010101,"1,1,1",3,3,1,3,,0001110,1
"3,2,1",3,"3,2,1",2,6,,0101010,"1,1,1",3,3,1,3,,0001110,"3,0,0",1,"1,1,1",1,3,,0100011,0
"3,2,1",3,"3,2,1",2,6,,0101010,"1,1,1",3,3,1,3,,0001110,"2,1,0",2,"2,1",1,3,,0010101,1
"3,2,1",3,"3,2,1",2,6,,0101010,"1,1,1",3,3,1,3,,0001110,"1,1,1",3,3,1,3,,0001110,0
"3,2,1",3,"3,2,1",2,6,,0101010,"4,0,0",1,"1,1,1,1",1,4,,1000011,"2,0,0",1,"1,1",1,2,,0010011,0
"3,2,1",3,"3,2,1",2,6,,0101010,"4,0,0",1,"1,1,1,1",1,4,,1000011,"1,1,0",2,2,1,2,,0001101,0
"3,2,1",3,"3,2,1",2,6,,0101010,"3,1,0",2,"2,1,1",1,4,,0100101,"2,0,0",1,"1,1",1,2,,0010011,1
"3,2,1",3,"3,2,1",2,6,,0101010,"3,1,0",2,"2,1,1",1,4,,0100101,"1,1,0",2,2,1,2,,0001101,1
"3,2,1",3,"3,2,1",2,6,,0101010,"2,2,0",2,"2,2",2,4,,0011001,"2,0,0",1,"1,1",1,2,,0010011,1
"3,2,1",3,"3,2,1",2,6,,0101010,"2,2,0",2,"2,2",2,4,,0011001,"1,1,0",2,2,1,2,,0001101,1
"3,2,1",3,"3,2,1",2,6,,0101010,"2,1,1",3,"3,1",1,4,,0010110,"2,0,0",1,"1,1",1,2,,0010011,1
"3,2,1",3,"3,2,1",2,6,,0101010,"2,1,1",3,"3,1",1,4,,0010110,"1,1,0",2,2,1,2,,0001101,1
"3,2,1",3,"3,2,1",2,6,,0101010,"4,1,0",2,"2,1,1,1",1,5,,1000101,"1,0,0",1,1,1,1,,0001011,0
"3,2,1",3,"3,2,1",2,6,,0101010,"3,2,0",2,"2,2,1",2,5,,0101001,"1,0,0",1,1,1,1,,0001011,1
"3,2,1",3,"3,2,1",2,6,,0101010,"3,1,1",3,"3,1,1",1,5,,0100110,"1,0,0",1,1,1,1,,0001011,1
"3,2,1",3,"3,2,1",2,6,,0101010,"2,2,1",3,"3,2",2,5,,0011010,"1,0,0",1,1,1,1,,0001011,1
"3,2,1",3,"3,2,1",2,6,,0101010,"4,2,0",2,"2,2,1,1",2,6,,1001001,"0,0,0",0,,0,0,,0000111,0
"3,2,1",3,"3,2,1",2,6,,0101010,"4,1,1",3,"3,1,1,1",1,6,,1000110,"0,0,0",0,,0,0,,0000111,0
"3,2,1",3,"3,2,1",2,6,,0101010,"3,3,0",2,"2,2,2",2,6,,0110001,"0,0,0",0,,0,0,,0000111,0
"3,2,1",3,"3,2,1",2,6,,0101010,"3,2,1",3,"3,2,1",2,6,,0101010,"0,0,0",0,,0,0,,0000111,1
"3,2,1",3,"3,2,1",2,6,,0101010,"2,2,2",3,"3,3",2,6,,0011100,"0,0,0",0,,0,0,,0000111,0
"2,2,2",3,"3,3",2,6,,0011100,"0,0,0",0,,0,0,,0000111,"4,2,0",2,"2,2,1,1",2,6,,1001001,0
"2,2,2",3,"3,3",2,6,,0011100,"0,0,0",0,,0,0,,0000111,"4,1,1",3,"3,1,1,1",1,6,,1000110,0
"2,2,2",3,"3,3",2,6,,0011100,"0,0,0",0,,0,0,,0000111,"3,3,0",2,"2,2,2",2,6,,0110001,0
"2,2,2",3,"3,3",2,6,,0011100,"0,0,0",0,,0,0,,0000111,"3,2,1",3,"3,2,1",2,6,,0101010,0
"2,2,2",3,"3,3",2,6,,0011100,"0,0,0",0,,0,0,,0000111,"2,2,2",3,"3,3",2,6,,0011100,1
"2,2,2",3,"3,3",2,6,,0011100,"1,0,0",1,1,1,1,,0001011,"4,1,0",2,"2,1,1,1",1,5,,1000101,0
"2,2,2",3,"3,3",2,6,,0011100,"1,0,0",1,1,1,1,,0001011,"3,2,0",2,"2,2,1",2,5,,0101001,0
"2,2,2",3,"3,3",2,6,,0011100,"1,0,0",1,1,1,1,,0001011,"3,1,1",3,"3,1,1",1,5,,0100110,0
"2,2,2",3,"3,3",2,6,,0011100,"1,0,0",1,1,1,1,,0001011,"2,2,1",3,"3,2",2,5,,0011010,1
"2,2,2",3,"3,3",2,6,,0011100,"2,0,0",1,"1,1",1,2,,0010011,"4,0,0",1,"1,1,1,1",1,4,,1000011,0
"2,2,2",3,"3,3",2,6,,0011100,"2,0,0",1,"1,1",1,2,,0010011,"3,1,0",2,"2,1,1",1,4,,0100101,0
"2,2,2",3,"3,3",2,6,,0011100,"2,0,0",1,"1,1",1,2,,0010011,"2,2,0",2,"2,2",2,4,,0011001,1
"2,2,2",3,"3,3",2,6,,0011100,"2,0,0",1,"1,1",1,2,,0010011,"2,1,1",3,"3,1",1,4,,0010110,0
"2,2,2",3,"3,3",2,6,,0011100,"1,1,0",2,2,1,2,,0001101,"4,0,0",1,"1,1,1,1",1,4,,1000011,0
"2,2,2",3,"3,3",2,6,,0011100,"1,1,0",2,2,1,2,,0001101,"3,1,0",2,"2,1,1",1,4,,0100101,0
"2,2,2",3,"3,3",2,6,,0011100,"1,1,0",2,2,1,2,,0001101,"2,2,0",2,"2,2",2,4,,0011001,0
"2,2,2",3,"3,3",2,6,,0011100,"1,1,0",2,2,1,2,,0001101,"2,1,1",3,"3,1",1,4,,0010110,1
"2,2,2",3,"3,3",2,6,,0011100,"3,0,0",1,"1,1,1",1,3,,0100011,"3,0,0",1,"1,1,1",1,3,,0100011,0
"2,2,2",3,"3,3",2,6,,0011100,"3,0,0",1,"1,1,1",1,3,,0100011,"2,1,0",2,"2,1",1,3,,0010101,0
"2,2,2",3,"3,3",2,6,,0011100,"3,0,0",1,"1,1,1",1,3,,0100011,"1,1,1",3,3,1,3,,0001110,0
"2,2,2",3,"3,3",2,6,,0011100,"2,1,0",2,"2,1",1,3,,0010101,"3,0,0",1,"1,1,1",1,3,,0100011,0
"2,2,2",3,"3,3",2,6,,0011100,"2,1,0",2,"2,1",1,3,,0010101,"2,1,0",2,"2,1",1,3,,0010101,1
"2,2,2",3,"3,3",2,6,,0011100,"2,1,0",2,"2,1",1,3,,0010101,"1,1,1",3,3,1,3,,0001110,0
"2,2,2",3,"3,3",2,6,,0011100,"1,1,1",3,3,1,3,,0001110,"3,0,0",1,"1,1,1",1,3,,0100011,0
"2,2,2",3,"3,3",2,6,,0011100,"1,1,1",3,3,1,3,,0001110,"2,1,0",2,"2,1",1,3,,0010101,0
"2,2,2",3,"3,3",2,6,,0011100,"1,1,1",3,3,1,3,,0001110,"1,1,1",3,3,1,3,,0001110,1
"2,2,2",3,"3,3",2,6,,0011100,"4,0,0",1,"1,1,1,1",1,4,,1000011,"2,0,0",1,"1,1",1,2,,0010011,0
"2,2,2",3,"3,3",2,6,,0011100,"4,0,0",1,"1,1,1,1",1,4,,1000011,"1,1,0",2,2,1,2,,0001101,0
"2,2,2",3,"3,3",2,6,,0011100,"3,1,0",2,"2,1,1",1,4,,0100101,"2,0,0",1,"1,1",1,2,,0010011,0
"2,2,2",3,"3,3",2,6,,0011100,"3,1,0",2,"2,1,1",1,4,,0100101,"1,1,0",2,2,1,2,,0001101,0
"2,2,2",3,"3,3",2,6,,0011100,"2,2,0",2,"2,2",2,4,,0011001,"2,0,0",1,"1,1",1,2,,0010011,1
"2,2,2",3,"3,3",2,6,,0011100,"2,2,0",2,"2,2",2,4,,0011001,"1,1,0",2,2,1,2,,0001101,0
"2,2,2",3,"3,3",2,6,,0011100,"2,1,1",3,"3,1",1,4,,0010110,"2,0,0",1,"1,1",1,2,,0010011,0
"2,2,2",3,"3,3",2,6,,0011100,"2,1,1",3,"3,1",1,4,,0010110,"1,1,0",2,2,1,2,,0001101,1
"2,2,2",3,"3,3",2,6,,0011100,"4,1,0",2,"2,1,1,1",1,5,,1000101,"1,0,0",1,1,1,1,,0001011,0
"2,2,2",3,"3,3",2,6,,0011100,"3,2,0",2,"2,2,1",2,5,,0101001,"1,0,0",1,1,1,1,,0001011,0
"2,2,2",3,"3,3",2,6,,0011100,"3,1,1",3,"3,1,1",1,5,,0100110,"1,0,0",1,1,1,1,,0001011,0
"2,2,2",3,"3,3",2,6,,0011100,"2,2,1",3,"3,2",2,5,,0011010,"1,0,0",1,1,1,1,,0001011,1
"2,2,2",3,"3,3",2,6,,0011100,"4,2,0",2,"2,2,1,1",2,6,,1001001,"0,0,0",0,,0,0,,0000111,0
"2,2,2",3,"3,3",2,6,,0011100,"4,1,1",3,"3,1,1,1",1,6,,1000110,"0,0,0",0,,0,0,,0000111,0
"2,2,2",3,"3,3",2,6,,0011100,"3,3,0",2,"2,2,2",2,6,,0110001,"0,0,0",0,,0,0,,0000111,0
"2,2,2",3,"3,3",2,6,,0011100,"3,2,1",3,"3,2,1",2,6,,0101010,"0,0,0",0,,0,0,,0000111,0
"2,2,2",3,"3,3",2,6,,0011100,"2,2,2",3,"3,3",2,6,,0011100,"0,0,0",0,,0,0,,0000111,1
"4,3,0",2,"2,2,2,1",2,7,,1010001,"0,0,0",0,,0,0,,0000111,"4,3,0",2,"2,2,2,1",2,7,,1010001,1
"4,3,0",2,"2,2,2,1",2,7,,1010001,"0,0,0",0,,0,0,,0000111,"4,2,1",3,"3,2,1,1",2,7,,1001010,0
"4,3,0",2,"2,2,2,1",2,7,,1010001,"0,0,0",0,,0,0,,0000111,"3,3,1",3,"3,2,2",2,7,,0110010,0
"4,3,0",2,"2,2,2,1",2,7,,1010001,"0,0,0",0,,0,0,,0000111,"3,2,2",3,"3,3,1",2,7,,0101100,0
"4,3,0",2,"2,2,2,1",2,7,,1010001,"1,0,0",1,1,1,1,,0001011,"4,2,0",2,"2,2,1,1",2,6,,1001001,1
"4,3,0",2,"2,2,2,1",2,7,,1010001,"1,0,0",1,1,1,1,,0001011,"4,1,1",3,"3,1,1,1",1,6,,1000110,0
"4,3,0",2,"2,2,2,1",2,7,,1010001,"1,0,0",1,1,1,1,,0001011,"3,3,0",2,"2,2,2",2,6,,0110001,1
"4,3,0",2,"2,2,2,1",2,7,,1010001,"1,0,0",1,1,1,1,,0001011,"3,2,1",3,"3,2,1",2,6,,0101010,0
"4,3,0",2,"2,2,2,1",2,7,,1010001,"1,0,0",1,1,1,1,,0001011,"2,2,2",3,"3,3",2,6,,0011100,0
"4,3,0",2,"2,2,2,1",2,7,,1010001,"2,0,0",1,"1,1",1,2,,0010011,"4,1,0",2,"2,1,1,1",1,5,,1000101,1
"4,3,0",2,"2,2,2,1",2,7,,1010001,"2,0,0",1,"1,1",1,2,,0010011,"3,2,0",2,"2,2,1",2,5,,0101001,1
"4,3,0",2,"2,2,2,1",2,7,,1010001,"2,0,0",1,"1,1",1,2,,0010011,"3,1,1",3,"3,1,1",1,5,,0100110,0
"4,3,0",2,"2,2,2,1",2,7,,1010001,"2,0,0",1,"1,1",1,2,,0010011,"2,2,1",3,"3,2",2,5,,0011010,0
"4,3,0",2,"2,2,2,1",2,7,,1010001,"1,1,0",2,2,1,2,,0001101,"4,1,0",2,"2,1,1,1",1,5,,1000101,0
"4,3,0",2,"2,2,2,1",2,7,,1010001,"1,1,0",2,2,1,2,,0001101,"3,2,0",2,"2,2,1",2,5,,0101001,1
"4,3,0",2,"2,2,2,1",2,7,,1010001,"1,1,0",2,2,1,2,,0001101,"3,1,1",3,"3,1,1",1,5,,0100110,0
"4,3,0",2,"2,2,2,1",2,7,,1010001,"1,1,0",2,2,1,2,,0001101,"2,2,1",3,"3,2",2,5,,0011010,0
"4,3,0",2,"2,2,2,1",2,7,,1010001,"3,0,0",1,"1,1,1",1,3,,0100011,"4,0,0",1,"1,1,1,1",1,4,,1000011,1
"4,3,0",2,"2,2,2,1",2,7,,1010001,"3,0,0",1,"1,1,1",1,3,,0100011,"3,1,0",2,"2,1,1",1,4,,0100101,1
"4,3,0",2,"2,2,2,1",2,7,,1010001,"3,0,0",1,"1,1,1",1,3,,0100011,"2,2,0",2,"2,2",2,4,,0011001,0
"4,3,0",2,"2,2,2,1",2,7,,1010001,"3,0,0",1,"1,1,1",1,3,,0100011,"2,1,1",3,"3,1",1,4,,0010110,0
"4,3,0",2,"2,2,2,1",2,7,,1010001,"2,1,0",2,"2,1",1,3,,0010101,"4,0,0",1,"1,1,1,1",1,4,,1000011,0
"4,3,0",2,"2,2,2,1",2,7,,1010001,"2,1,0",2,"2,1",1,3,,0010101,"3,1,0",2,"2,1,1",1,4,,0100101,1
"4,3,0",2,"2,2,2,1",2,7,,1010001,"2,1,0",2,"2,1",1,3,,0010101,"2,2,0",2,"2,2",2,4,,0011001,1
"4,3,0",2,"2,2,2,1",2,7,,1010001,"2,1,0",2,"2,1",1,3,,0010101,"2,1,1",3,"3,1",1,4,,0010110,0
"4,3,0",2,"2,2,2,1",2,7,,1010001,"1,1,1",3,3,1,3,,0001110,"4,0,0",1,"1,1,1,1",1,4,,1000011,0
"4,3,0",2,"2,2,2,1",2,7,,1010001,"1,1,1",3,3,1,3,,0001110,"3,1,0",2,"2,1,1",1,4,,0100101,0
"4,3,0",2,"2,2,2,1",2,7,,1010001,"1,1,1",3,3,1,3,,0001110,"2,2,0",2,"2,2",2,4,,0011001,0
"4,3,0",2,"2,2,2,1",2,7,,1010001,"1,1,1",3,3,1,3,,0001110,"2,1,1",3,"3,1",1,4,,0010110,0
"4,3,0",2,"2,2,2,1",2,7,,1010001,"4,0,0",1,"1,1,1,1",1,4,,1000011,"3,0,0",1,"1,1,1",1,3,,0100011,1
"4,3,0",2,"2,2,2,1",2,7,,1010001,"4,0,0",1,"1,1,1,1",1,4,,1000011,"2,1,0",2,"2,1",1,3,,0010101,0
"4,3,0",2,"2,2,2,1",2,7,,1010001,"4,0,0",1,"1,1,1,1",1,4,,1000011,"1,1,1",3,3,1,3,,0001110,0
"4,3,0",2,"2,2,2,1",2,7,,1010001,"3,1,0",2,"2,1,1",1,4,,0100101,"3,0,0",1,"1,1,1",1,3,,0100011,1
"4,3,0",2,"2,2,2,1",2,7,,1010001,"3,1,0",2,"2,1,1",1,4,,0100101,"2,1,0",2,"2,1",1,3,,0010101,1
"4,3,0",2,"2,2,2,1",2,7,,1010001,"3,1,0",2,"2,1,1",1,4,,0100101,"1,1,1",3,3,1,3,,0001110,0
"4,3,0",2,"2,2,2,1",2,7,,1010001,"2,2,0",2,"2,2",2,4,,0011001,"3,0,0",1,"1,1,1",1,3,,0100011,0
"4,3,0",2,"2,2,2,1",2,7,,1010001,"2,2,0",2,"2,2",2,4,,0011001,"2,1,0",2,"2,1",1,3,,0010101,1
"4,3,0",2,"2,2,2,1",2,7,,1010001,"2,2,0",2,"2,2",2,4,,0011001,"1,1,1",3,3,1,3,,0001110,0
"4,3,0",2,"2,2,2,1",2,7,,1010001,"2,1,1",3,"3,1",1,4,,0010110,"3,0,0",1,"1,1,1",1,3,,0100011,0
"4,3,0",2,"2,2,2,1",2,7,,1010001,"2,1,1",3,"3,1",1,4,,0010110,"2,1,0",2,"2,1",1,3,,0010101,0
"4,3,0",2,"2,2,2,1",2,7,,1010001,"2,1,1",3,"3,1",1,4,,0010110,"1,1,1",3,3,1,3,,0001110,0
"4,3,0",2,"2,2,2,1",2,7,,1010001,"4,1,0",2,"2,1,1,1",1,5,,1000101,"2,0,0",1,"1,1",1,2,,0010011,1
"4,3,0",2,"2,2,2,1",2,7,,1010001,"4,1,0",2,"2,1,1,1",1,5,,1000101,"1,1,0",2,2,1,2,,0001101,0
"4,3,0",2,"2,2,2,1",2,7,,1010001,"3,2,0",2,"2,2,1",2,5,,0101001,"2,0,0",1,"1,1",1,2,,0010011,1
"4,3,0",2,"2,2,2,1",2,7,,1010001,"3,2,0",2,"2,2,1",2,5,,0101001,"1,1,0",2,2,1,2,,0001101,1
"4,3,0",2,"2,2,2,1",2,7,,1010001,"3,1,1",3,"3,1,1",1,5,,0100110,"2,0,0",1,"1,1",1,2,,0010011,0
"4,3,0",2,"2,2,2,1",2,7,,1010001,"3,1,1",3,"3,1,1",1,5,,0100110,"1,1,0",2,2,1,2,,0001101,0
"4,3,0",2,"2,2,2,1",2,7,,1010001,"2,2,1",3,"3,2",2,5,,0011010,"2,0,0",1,"1,1",1,2,,0010011,0
"4,3,0",2,"2,2,2,1",2,7,,1010001,"2,2,1",3,"3,2",2,5,,0011010,"1,1,0",2,2,1,2,,0001101,0
"4,3,0",2,"2,2,2,1",2,7,,1010001,"4,2,0",2,"2,2,1,1",2,6,,1001001,"1,0,0",1,1,1,1,,0001011,1
"4,3,0",2,"2,2,2,1",2,7,,1010001,"4,1,1",3,"3,1,1,1",1,6,,1000110,"1,0,0",1,1,1,1,,0001011,0
"4,3,0",2,"2,2,2,1",2,7,,1010001,"3,3,0",2,"2,2,2",2,6,,0110001,"1,0,0",1,1,1,1,,0001011,1
"4,3,0",2,"2,2,2,1",2,7,,1010001,"3,2,1",3,"3,2,1",2,6,,0101010,"1,0,0",1,1,1,1,,0001011,0
"4,3,0",2,"2,2,2,1",2,7,,1010001,"2,2,2",3,"3,3",2,6,,0011100,"1,0,0",1,1,1,1,,0001011,0
"4,3,0",2,"2,2,2,1",2,7,,1010001,"4,3,0",2,"2,2,2,1",2,7,,1010001,"0,0,0",0,,0,0,,0000111,1
"4,3,0",2,"2,2,2,1",2,7,,1010001,"4,2,1",3,"3,2,1,1",2,7,,1001010,"0,0,0",0,,0,0,,0000111,0
"4,3,0",2,"2,2,2,1",2,7,,1010001,"3,3,1",3,"3,2,2",2,7,,0110010,"0,0,0",0,,0,0,,0000111,0
"4,3,0",2,"2,2,2,1",2,7,,1010001,"3,2,2",3,"3,3,1",2,7,,0101100,"0,0,0",0,,0,0,,0000111,0
"4,2,1",3,"3,2,1,1",2,7,,1001010,"0,0,0",0,,0,0,,0000111,"4,3,0",2,"2,2,2,1",2,7,,1010001,0
"4,2,1",3,"3,2,1,1",2,7,,1001010,"0,0,0",0,,0,0,,0000111,"4,2,1",3,"3,2,1,1",2,7,,1001010,1
"4,2,1",3,"3,2,1,1",2,7,,1001010,"0,0,0",0,,0,0,,0000111,"3,3,1",3,"3,2,2",2,7,,0110010,0
"4,2,1",3,"3,2,1,1",2,7,,1001010,"0,0,0",0,,0,0,,0000111,"3,2,2",3,"3,3,1",2,7,,0101100,0
"4,2,1",3,"3,2,1,1",2,7,,1001010,"1,0,0",1,1,1,1,,0001011,"4,2,0",2,"2,2,1,1",2,6,,1001001,1
"4,2,1",3,"3,2,1,1",2,7,,1001010,"1,0,0",1,1,1,1,,0001011,"4,1,1",3,"3,1,1,1",1,6,,1000110,1
"4,2,1",3,"3,2,1,1",2,7,,1001010,"1,0,0",1,1,1,1,,0001011,"3,3,0",2,"2,2,2",2,6,,0110001,0
